drug1	drug2
Telithromycin	 DACLATASVIR 
Telithromycin	 MARAVIROC  
Telithromycin	 SAQUINAVIR  
Telithromycin	 SIMEPREVIR 
Telithromycin	 TELAPREVIR  
Telithromycin	 MIDAZOLAM  
Telithromycin	 AVANAFIL 
Telithromycin	 CALCIUM-CHANNEL BLOCKERS  
Telithromycin	 CICLOSPORIN 
Telithromycin	 COLCHICINE  
Telithromycin	 CABAZITAXEL 
Telithromycin	 IBRUTINIB 
Telithromycin	 RUXOLITINIB 
Telithromycin	 DOCETAXEL 
Telithromycin	 DAPOXETINE  
Telithromycin	 EPLERENONE 
Telithromycin	 DOMPERIDONE 
Telithromycin	 ERGOTAMINE 
Telithromycin	 IVABRADINE 
Telithromycin	 IVACAFTOR  
Telithromycin	 LOMITAPIDE  
Temoporfin	 FLUOROURACIL 
Temozolomide	 CLOZAPINE  
Temsirolimus	 RIFAMPICIN 
Temsirolimus	 ITRACONAZOLE  
Temsirolimus	 CLOZAPINE  
Tenofovir	 TELAPREVIR 
Tenofovir	 ORLISTAT 
Terbinafine	 RIFAMPICIN 
Teriflunomide	 COLESTYRAMINE  
Teriflunomide	 ROSUVASTATIN  
Teriflunomide	 VACCINES 
Testolactone	 PHENINDIONE 
Testosterone	 PHENINDIONE 
Tetrabenazine	 MAOIS  
Tetracyclines	 PHENINDIONE 
Tetracyclines	 RETINOIDS  
Theophylline	 QUINOLONES 
Theophylline	 PRIMIDONE  
Theophylline	 PHENYTOIN 
Theophylline	 KETOCONAZOLE 
Theophylline	 RITONAVIR  
Theophylline	 VERAPAMIL  
Theophylline	 DEFERASIROX  
Theophylline	 PEGINTERFERON ALFA  
Thiotepa	 CLOZAPINE  
Thyroid Hormones	 PHENINDIONE 
Tiagabine	 TRICYCLIC-RELATED 
Tiagabine	 TRICYCLICS  
Tiagabine	 MEFLOQUINE 
Tiagabine	 ANTIPSYCHOTICS  
Tiagabine	 ORLISTAT 
Ticagrelor	 RIFAMPICIN 
Ticagrelor	 DABIGATRAN 
Ticagrelor	 KETOCONAZOLE 
Ticagrelor	 RITONAVIR 
Ticagrelor	 DIGOXIN 
Ticagrelor	 ERGOT ALKALOIDS 
Ticagrelor	 LOMITAPIDE 
Tioguanine	 CLOZAPINE  
Tipranavir	 RIFABUTIN  
Tipranavir	 TELITHROMYCIN 
Tipranavir	 QUININE  
Tipranavir	 ARIPIPRAZOLE  
Tipranavir	 QUETIAPINE 
Tipranavir	 SAQUINAVIR  
Tipranavir	 ETRAVIRINE 
Tipranavir	 METOPROLOL  
Tipranavir	 COBICISTAT  
Tipranavir	 ATORVASTATIN  
Tipranavir	 SIMVASTATIN 
Tipranavir	 LOMITAPIDE  
Tipranavir	 ORLISTAT 
Tipranavir	 RANOLAZINE 
Tipranavir	 OMEPRAZOLE 
Tocilizumab	 CLOZAPINE  
Tocilizumab	 VACCINES 
Tolvaptan	 GRAPEFRUIT JUICE 
Topiramate	 TRICYCLICS  
Topiramate	 VALPROIC ACID 
Topiramate	 MEFLOQUINE 
Topiramate	 ANTIPSYCHOTICS  
Topiramate	 OESTROGENS  
Topiramate	 ORLISTAT 
Topiramate	 PROGESTOGENS  
Toremifene	 COUMARINS 
Toremifene	 VANDETANIB 
Trabectedin	 ALCOHOL 
Trabectedin	 RIFAMPICIN 
Trabectedin	 CLOZAPINE  
Trabectedin	 VACCINES 
Trastuzumab	 CLOZAPINE  
Trastuzumab	 VACCINES 
Trimethoprim	 PHENYTOIN  
Trimethoprim	 PYRIMETHAMINE 
Trimethoprim	 AZATHIOPRINE 
Ulipristal	 RIFAMPICIN  
Ulipristal	 PRIMIDONE 
Ulipristal	 RITONAVIR  
Ulipristal	 PROGESTOGENS 
Ustekinumab	 CLOZAPINE  
Ustekinumab	 VACCINES 
Vaccines	 ABATACEPT 
Valganciclovir	 IMIPENEM WITH CILASTATIN 
Valganciclovir	 ZIDOVUDINE  
Valproic Acid	 CARBAPENEMS 
Valproic Acid	 TRICYCLICS  
Valproic Acid	 TOPIRAMATE 
Valproic Acid	 MEFLOQUINE 
Valproic Acid	 OLANZAPINE 
Valproic Acid	 ORLISTAT 
Valproic Acid	 SODIUM OXYBATE  
Valproic Acid	 Vancomycin 
Vandetanib	 METHADONE 
Vandetanib	 DISOPYRAMIDE 
Vandetanib	 RIFAMPICIN 
Vandetanib	 MIZOLASTINE 
Vandetanib	 ARTEMETHER WITH LUMEFANTRINE 
Vandetanib	 AMISULPRIDE 
Vandetanib	 SULPIRIDE  
Vandetanib	 CLOZAPINE  
Vandetanib	 SOTALOL 
Vandetanib	 ARSENIC TRIOXIDE 
Vandetanib	 TOREMIFENE 
Vandetanib	 ONDANSETRON 
Vandetanib	 PENTAMIDINE ISETIONATE 
Vardenafil	 ALPHA-BLOCKERS 
Vardenafil	 KETOCONAZOLE 
Vardenafil	 ITRACONAZOLE 
Vardenafil	 SAQUINAVIR 
Vardenafil	 TIPRANAVIR 
Vardenafil	 COBICISTAT 
Vardenafil	 GRAPEFRUIT JUICE 
Vardenafil	 NICORANDIL 
Vardenafil	 NITRATES 
Vardenafil	 RIOCIGUAT 
Vedolizumab	 CLOZAPINE  
Vedolizumab	 VACCINES 
Vemurafenib	 WARFARIN 
Vemurafenib	 CLOZAPINE  
Vemurafenib	 OESTROGENS  
Vemurafenib	 PROGESTOGENS  
Venlafaxine	 TRAMADOL 
Venlafaxine	 DABIGATRAN 
Vigabatrin	 TRICYCLICS  
Vigabatrin	 MEFLOQUINE 
Vigabatrin	 ANTIPSYCHOTICS  
Vigabatrin	 ORLISTAT 
Vinblastine	 ALDESLEUKIN 
Vinblastine	 DELAMANID 
Vinblastine	 POSACONAZOLE  
Vinblastine	 ARTENIMOL WITH PIPERAQUINE 
Vinblastine	 CLOZAPINE  
Vincristine	 DELAMANID 
Vincristine	 POSACONAZOLE  
Vincristine	 ARTENIMOL WITH PIPERAQUINE 
Vincristine	 CLOZAPINE  
Vindesine	 DELAMANID 
Vindesine	 ITRACONAZOLE 
Vindesine	 CLOZAPINE  
Vinflunine	 DELAMANID 
Vinflunine	 ITRACONAZOLE 
Vinflunine	 ARTENIMOL WITH PIPERAQUINE 
Vinflunine	 CLOZAPINE  
Vinflunine	 RITONAVIR 
Vinorelbine	 DELAMANID 
Vinorelbine	 ITRACONAZOLE 
Vinorelbine	 ARTENIMOL WITH PIPERAQUINE 
Vinorelbine	 CLOZAPINE  
Vismodegib	 RIFAMPICIN  
Vismodegib	 PHENYTOIN  
Vismodegib	 CLOZAPINE  
Wasp Venom Extracts	 ACE INHIBITORS 
Zidovudine	 FLUCONAZOLE  
Zonisamide	 TRICYCLICS  
Zonisamide	 MEFLOQUINE 
Zonisamide	 ANTIPSYCHOTICS  
Zonisamide	 ORLISTAT 
